pipeline_key,pipeline_id,owner,producer_team,consumer_team,status,registered_at
FRC-3aaa93b8,trade_positions_sftp,market-risk@bank.com,market-risk-quant,grid-scheduler,ACTIVE,2026-06-18T20:48:36.634711
FRC-1f0703ba,positions_sftp_ingest,market-risk@bank.com,market-risk-quant,data-warehouse,ACTIVE,2026-06-18T20:48:36.745593
FRC-4aa3678b,customer_risk_features,aml-platform@bank.com,aml-platform,ml-platform,ACTIVE,2026-06-18T20:48:36.764016
FRC-47ba874a,transaction_screening,aml-platform@bank.com,aml-platform,compliance-reporting,ACTIVE,2026-06-18T20:48:36.780622
FRC-90d4a831,payment_settlements_daily,payments@bank.com,payments-platform,settlement-ops,ACTIVE,2026-06-18T20:48:36.798013
FRC-0eecd6a1,payment_reconciliation,payments@bank.com,payments-platform,finance-ops,ACTIVE,2026-06-18T20:48:36.816732
FRC-0f6b3c37,grid_corehours_calc,risk-tech@bank.com,risk-technology,reporting-platform,ACTIVE,2026-06-18T20:48:36.834671
FRC-94e2dc53,var_batch_processing,risk-tech@bank.com,risk-technology,risk-reporting,ACTIVE,2026-06-18T20:48:36.852464
FRC-b1e6b70a,regulatory_batch_dnb,regulatory@bank.com,regulatory-reporting,regulatory-portal,ACTIVE,2026-06-18T20:48:36.870140
FRC-a9ecb086,mifid_trade_reporting,regulatory@bank.com,regulatory-reporting,mifid-portal,ACTIVE,2026-06-18T20:48:36.887674
FRC-44ed2010,raw_ingestion_pipeline,data-eng@bank.com,data-engineering,feature-store,ACTIVE,2026-06-18T20:48:36.904753
FRC-034a3f56,feature_store_refresh,data-eng@bank.com,data-engineering,ml-platform,ACTIVE,2026-06-18T20:48:36.921496
FRC-ed2958aa,dbt_model_runner,data-eng@bank.com,data-engineering,analytics-bi,ACTIVE,2026-06-18T20:48:36.937539
FRC-1147b324,model_training_pipeline,ml-platform@bank.com,ml-platform,inference-serving,ACTIVE,2026-06-18T20:48:36.954539
FRC-43dc1c4e,inference_batch_scoring,ml-platform@bank.com,ml-platform,downstream-consumers,ACTIVE,2026-06-18T20:48:36.972046
FRC-c1f86d79,feature_validation_job,ml-platform@bank.com,ml-platform,model-training,ACTIVE,2026-06-18T20:48:36.989030
FRC-a3830df0,pd_model_batch,credit-risk@bank.com,credit-risk,credit-reporting,ACTIVE,2026-06-18T20:48:37.006390
FRC-9455f754,lgd_calculation_daily,credit-risk@bank.com,credit-risk,risk-reporting,ACTIVE,2026-06-18T20:48:37.023295
FRC-9e0824ef,stress_test_scenario,credit-risk@bank.com,credit-risk,regulatory-reporting,ACTIVE,2026-06-18T20:48:37.039972
FRC-f2a9dc32,kafka_compaction_job,platform-infra@bank.com,platform-infrastructure,data-lake,ACTIVE,2026-06-18T20:48:37.055297
FRC-f4376f26,hdfs_replication_check,platform-infra@bank.com,platform-infrastructure,data-warehouse,ACTIVE,2026-06-18T20:48:37.072236
FRC-e23ba970,delta_vacuum_runner,platform-infra@bank.com,platform-infrastructure,data-lake,ACTIVE,2026-06-18T20:48:37.088968
FRC-a24407bf,fx_rate_ingestion,treasury@bank.com,treasury-ops,market-data-consumers,ACTIVE,2026-06-18T20:48:37.105571
FRC-140ac563,liquidity_reporting,treasury@bank.com,treasury-ops,cfo-systems,ACTIVE,2026-06-18T20:48:37.123003
FRC-0cb5fb6e,collateral_valuation,treasury@bank.com,treasury-ops,risk-management,ACTIVE,2026-06-18T20:48:37.140189
FRC-4052a9d3,etl_daily_transform,data-eng@bank.com,airflow-pipelines,data-warehouse,ACTIVE,2026-06-18T20:48:37.157858
FRC-f1cf9f47,spark_batch_job,data-eng@bank.com,airflow-pipelines,analytics-platform,ACTIVE,2026-06-18T20:48:37.176627
